,airline_sentiment,text,wordCount
13417,0,@AmericanAir how comes no one has answered my calls or emails?,11
14156,0,@AmericanAir how hard is it to have catering ready to go?,11
6882,0,@JetBlue - Definitely no note from whoever stole from me.,10
61,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,20
6623,0,@SouthwestAir and currently as im bringing my 3 year old to the bathroom I'm being rushed by the flight attendant.,20
3883,0,@united delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?,23
7180,0,"@JetBlue For one way, not letting me select TO city....strange...and now some fairs look ""normal"" ????",16
7650,0,"@JetBlue Yep, still waiting for bags at #JFK. What's the holdup? Looks like we are the only flight that got in at this time..??",24
3835,0,@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell,10
1687,0,@united has an United flight ever been on time. #americanisbetter,10
5957,0,@SouthwestAir no flights to HRL :( is this a limited route?,11
11653,0,@USAirways been delayed three times now finally boarded. Been waiting 20 minutes. Now being told the plan has to be completely powered down.,23
12502,0,@AmericanAir gah this is so frustrating! Nobody has my address here in the USA. Where are my bags!?!? So disorganised!!!!!!!!!!!,20
7398,0,@JetBlue so the prefference option is not something that you honor? So why having it as one of the services if not applied?,23
12477,0,"@AmericanAir @Delta Maybe? Long trip, Late Flight night &amp; queues at baggage claims in two terminals, no good. I thought I paid for it 50$ instead.",26
6768,0,"@JetBlue upset with the lack of communication we've received for our ""on time"" flight 1170 out of MCO",18
2389,0,@united @nathankillam or your staff could try not throwing the luggage around.,12
12039,0,@DeltaAssist what I have to say is more than 140 characters! Plus you don't follow me,16
4236,0,@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept,24
10578,0,@USAirways on hold for 30 minutes &amp; counting to Cancelled Flight reservation booked within 24 hours - can I do it here? conf code: F6DK04 / XZMSCW,27
5763,0,"@SouthwestAir my sinuses had to contend with two painful landings rather than one, and we missed a preregistration window. Beyond frustrated",21
10435,0,"@USAirways husband tried to use dividends &amp; companion fair for emergency, transferred &amp; put on hold for over two hours gave up #disappointed",23
14426,0,"@AmericanAir no one received text alerts, automated calls, anything either. Literally no information as to what was happening.",18
9497,0,"@USAirways I listed my baggage claim number.  Have them call me, my number is on the ticket.  I had to use Lady Speed Stick this morning.",26
2897,0,@united 3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx!,26
13215,0,@AmericanAir flight home Cancelled Flightled today.  Any way we can get another flight to NYC from Texas? 4 hour wait for a call back from airline,26
1478,0,@united that's not good enough for all of us affected by the awful organization and timing and have now been set back,22
12659,0,@AmericanAir We tried with multiple people. I already sat on the phone for an hour and a half and got nowhere.,21
13084,0,@AmericanAir Still on hold. Way to suck.,7
4148,0,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",24
870,0,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",23
11098,0,@USAirways WTF is going on with the 1:30 from DC to BOS? Twice we go back back to the gate after leaving for the runway? Total BS.,27
1275,0,@united jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy,23
1685,0,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?",22
10945,0,@USAirways is moving the plane to the end of the runway for us to sit on it for an hour and a half. They didn't even let us off.,29
4430,0,@SouthwestAir Supposed to take off almost 2 hours ago....#vacationfail #frozenwater? #gettingimpatient #theycouldatleastofferfreebooze,12
14387,0,"@AmericanAir flight 2470 tomorrow, have no idea if we've been rescheduled and can't fix online? Have to talk to an agent yet no one answers?",25
4176,0,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines.,20
11092,0,@USAirways forgetting to fuel up? Realizing there was more cargo to add to plane? One way to try and mask a delay.,22
8326,0,@JetBlue But jet blue had Cancelled Flighted my ticket &amp; never reissued it.,13
13700,0,"@AmericanAir Also, been on hold for 30 minutes with your ""customer service"" to find out when my new flight is scheduled bc your site SUCKS",25
4654,0,"@SouthwestAir , please explain to me why every other flight to Dallas is going out today except the 6:35 pm?????",20
2447,0,"Meanwhile, they fucked my flight. @united: The festivities are already in full swing at the United Fairway Club, overlooking the 17th hole..",22
8494,0,@JetBlue why is the buffalo flight so Late Flight?,9
9840,0,"@USAirways stuck at the gate in Charlotte, NC waiting for ""release papers"" and a fix for a broken computer system.",20
2505,0,@united just had the worst customer service experience ever on united airlines,12
929,0,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing.,19
826,0,@united UA938 ORD-LHR.  bags are being loaded 30min Late Flight. Frigid air into cabin! Plane feels like falling apart! Upgrade long haul fleet!,23
5147,0,@SouthwestAir Am I flying on Spirit air?,7
910,0,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother,14
433,0,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,21
9645,0,@USAirways sorry doesn't help.  It's midnight PST.  How in the hell am I still on hold after 90 minutes on customer service line?,23
10624,0,@USAirways is there a number to call to modify reservation.  Please help. Very frustrating with american and us air merger,20
10591,0,"@usairways when trying to check-in online, it says to call...now I've been on hold for 2 hours...what to do?",19
